"","Name","Season","Apps","Mins","Assists","KeyP","AvgP","PS","Crosses","LongB","ThrB","Rating","Team.x","Meta","Team.y","Cost"
"1536","Adam Bogdan",2011,"20",1800,0,0.1,33,41,0,12,0,6.55,"Bolton","GK",NA,NA
"1537","Adam Federici",2012,"21",1890,0,0,29.2,39,0,10.4,0,6.54,"Reading","GK",NA,NA
"1538","Adrian",2013,"20",1800,0,0.1,28.6,48.3,0,12,0,6.82,"West Ham","GK","west-ham-united",1700000
"1539","Adrian",2014,"38",3391,0,0.1,26.5,46.2,0,8.8,0,6.8,"West Ham","GK","west-ham-united",1700000
"1540","Adrian",2015,"32",2880,0,0,26.7,50.5,0,8.6,0,6.81,"West Ham","GK","west-ham-united",4250000
"1541","Adrian",2016,"11",990,0,0.1,25.8,54.6,0,8.5,0,6.65,"West Ham","GK","west-ham-united",7650000
"1542","Ali Al Habsi",2010,"34",3060,1,0.1,25.9,44.4,0,6.6,0,6.82,"Wigan","GK",NA,NA
"1543","Ali Al Habsi",2011,"38",3420,0,0,21.4,55.8,0,7.3,0,6.6,"Wigan","GK",NA,NA
"1544","Ali Al Habsi",2012,"29",2610,0,0,22.9,64.8,0,7.7,0,6.27,"Wigan","GK",NA,NA
"1545","Allan McGregor",2013,"26",2229,0,0,26.5,41.6,0,8.7,0,6.48,"Hull","GK","hull-city",3400000
"1546","Allan McGregor",2014,"26",2340,0,0,24.5,42.2,0,8.3,0,6.42,"Hull","GK","hull-city",1700000
"1547","Artur Boruc",2012,"20",1756,0,0,26.9,55.4,0,7.4,0,6.61,"Southampton","GK","southampton-fc",3400000
"1548","Artur Boruc",2013,"29",2578,1,0.1,31.3,58.3,0,8,0,6.68,"Southampton","GK","southampton-fc",1280000
"1549","Artur Boruc",2015,"32",2880,0,0,23.2,54,0,5.2,0,6.46,"Bournemouth","GK","afc-bournemouth",850000
"1550","Artur Boruc",2016,"12",1080,0,0,24.8,54.9,0,6.4,0,6.64,"Bournemouth","GK","afc-bournemouth",850000
"1551","Asmir Begovic",2010,"28",2520,0,0.1,33.3,44.9,0,13.9,0,6.9,"Stoke","GK","stoke-city",1280000
"1552","Asmir Begovic",2011,"22(1)",1996,0,0,29,54.2,0,14.7,0,6.72,"Stoke","GK","stoke-city",2980000
"1553","Asmir Begovic",2012,"38",3420,0,0.1,28.9,55.4,0,14,0,6.79,"Stoke","GK","stoke-city",2980000
"1554","Asmir Begovic",2013,"32",2880,0,0,28.3,59.6,0,12.1,0,7.01,"Stoke","GK","stoke-city",4250000
"1555","Asmir Begovic",2014,"35",3150,0,0,27.6,61.7,0,10.4,0,6.65,"Stoke","GK","stoke-city",8500000
"1556","Ben Foster",2010,"38",3371,0,0.1,38,37.3,0,11.5,0,6.94,"Birmingham","GK",NA,NA
"1557","Ben Foster",2011,"37",3330,0,0.1,27.6,50,0,9.5,0,6.85,"West Bromwich Albion","GK","west-bromwich-albion",4250000
"1558","Ben Foster",2012,"30",2700,0,0.1,26.6,46.6,0,8.8,0,6.8,"West Bromwich Albion","GK","west-bromwich-albion",4250000
"1559","Ben Foster",2013,"24",2148,0,0,26.7,42.6,0,7.5,0,6.57,"West Bromwich Albion","GK","west-bromwich-albion",4250000
"1560","Ben Foster",2014,"28",2486,0,0,30.7,41.1,0,8.7,0,6.51,"West Bromwich Albion","GK","west-bromwich-albion",3400000
"1561","Ben Foster",2016,"14",1260,0,0.1,31.2,40,0,9.9,0,6.79,"West Bromwich Albion","GK","west-bromwich-albion",3400000
"1562","Boaz Myhill",2009,"27",2430,0,0,34.3,36.1,0,11.6,0,6.62,"Hull","GK","hull-city",2810000
"1563","Boaz Myhill",2015,"23",2070,0,0,26.3,41.9,0,8.9,0,6.57,"West Bromwich Albion","GK","west-bromwich-albion",850000
"1564","Brad Friedel",2009,"38",3420,0,0.1,23.9,46.6,0,8.7,0,6.91,"Aston Villa","GK",NA,NA
