"","match_point","match_flag","home_season","coach_name"
"1","0","lose","15/16","Alan Curtis"
"2","3","win","15/16","Alan Curtis"
"3","0","lose","15/16","Alan Curtis"
"4","0","lose","15/16","Alan Curtis"
"5","3","win","15/16","Alan Curtis"
"6","0","lose","15/16","Alan Curtis"
"7","1","draw","11/12","Alan Curtis"
"8","0","lose","11/12","Alan Curtis"
"9","1","draw","11/12","Alan Curtis"
"10","1","draw","11/12","Alan Curtis"
"11","0","lose","11/12","Alan Curtis"
"12","1","draw","11/12","Alan Curtis"
"13","3","win","11/12","Alan Curtis"
"14","3","win","11/12","Alan Curtis"
"15","0","lose","11/12","Alan Curtis"
"16","3","win","11/12","Alan Curtis"
"17","3","win","11/12","Alan Curtis"
"18","3","win","15/16","Alan Curtis"
"19","3","win","15/16","Alan Curtis"
"20","0","lose","15/16","Alan Curtis"
"21","1","draw","15/16","Alan Curtis"
"22","1","draw","15/16","Alan Curtis"
"23","0","lose","11/12","Alan Curtis"
"24","1","draw","11/12","Alan Curtis"
"25","1","draw","11/12","Alan Curtis"
"26","0","lose","11/12","Alan Curtis"
"27","0","lose","11/12","Alan Curtis"
"28","0","lose","11/12","Alan Curtis"
"29","0","lose","11/12","Alan Curtis"
"30","1","draw","11/12","Alan Curtis"
"31","1","draw","11/12","Alan Curtis"
"32","0","lose","11/12","Alan Curtis"
"33","0","lose","11/12","Alan Curtis"
"34","0","lose","16/17","Alan Pardew"
"35","0","lose","16/17","Alan Pardew"
"36","0","lose","16/17","Alan Pardew"
"37","1","draw","16/17","Alan Pardew"
"38","0","lose","16/17","Alan Pardew"
"39","3","win","16/17","Alan Pardew"
"40","3","win","16/17","Alan Pardew"
"41","0","lose","16/17","Alan Pardew"
"42","0","lose","15/16","Alan Pardew"
"43","0","lose","15/16","Alan Pardew"
"44","0","lose","15/16","Alan Pardew"
"45","1","draw","15/16","Alan Pardew"
"46","1","draw","15/16","Alan Pardew"
"47","3","win","15/16","Alan Pardew"
"48","1","draw","15/16","Alan Pardew"
"49","3","win","15/16","Alan Pardew"
"50","1","draw","15/16","Alan Pardew"
"51","3","win","15/16","Alan Pardew"
"52","0","lose","15/16","Alan Pardew"
"53","3","win","15/16","Alan Pardew"
"54","1","draw","15/16","Alan Pardew"
"55","3","win","15/16","Alan Pardew"
"56","1","draw","15/16","Alan Pardew"
"57","0","lose","15/16","Alan Pardew"
"58","1","draw","15/16","Alan Pardew"
"59","0","lose","15/16","Alan Pardew"
"60","3","win","15/16","Alan Pardew"
