"","match_point","match_flag","coach_name","season_edits"
"1",0,"lose","Alan Curtis",2015
"2",3,"win","Alan Curtis",2015
"3",0,"lose","Alan Curtis",2015
"4",0,"lose","Alan Curtis",2015
"5",3,"win","Alan Curtis",2015
"6",0,"lose","Alan Curtis",2015
"7",1,"draw","Alan Curtis",2011
"8",0,"lose","Alan Curtis",2011
"9",1,"draw","Alan Curtis",2011
"10",1,"draw","Alan Curtis",2011
"11",0,"lose","Alan Curtis",2011
"12",1,"draw","Alan Curtis",2011
"13",3,"win","Alan Curtis",2011
"14",3,"win","Alan Curtis",2011
"15",0,"lose","Alan Curtis",2011
"16",3,"win","Alan Curtis",2011
"17",3,"win","Alan Curtis",2011
"18",3,"win","Alan Curtis",2015
"19",3,"win","Alan Curtis",2015
"20",0,"lose","Alan Curtis",2015
"21",1,"draw","Alan Curtis",2015
"22",1,"draw","Alan Curtis",2015
"23",0,"lose","Alan Curtis",2011
"24",1,"draw","Alan Curtis",2011
"25",1,"draw","Alan Curtis",2011
"26",0,"lose","Alan Curtis",2011
"27",0,"lose","Alan Curtis",2011
"28",0,"lose","Alan Curtis",2011
"29",0,"lose","Alan Curtis",2011
"30",1,"draw","Alan Curtis",2011
"31",1,"draw","Alan Curtis",2011
"32",0,"lose","Alan Curtis",2011
"33",0,"lose","Alan Curtis",2011
"34",0,"lose","Alan Pardew",2016
"35",0,"lose","Alan Pardew",2016
"36",0,"lose","Alan Pardew",2016
"37",1,"draw","Alan Pardew",2016
"38",0,"lose","Alan Pardew",2016
"39",3,"win","Alan Pardew",2016
"40",3,"win","Alan Pardew",2016
"41",0,"lose","Alan Pardew",2016
"42",0,"lose","Alan Pardew",2015
"43",0,"lose","Alan Pardew",2015
"44",0,"lose","Alan Pardew",2015
"45",1,"draw","Alan Pardew",2015
"46",1,"draw","Alan Pardew",2015
"47",3,"win","Alan Pardew",2015
"48",1,"draw","Alan Pardew",2015
"49",3,"win","Alan Pardew",2015
"50",1,"draw","Alan Pardew",2015
"51",3,"win","Alan Pardew",2015
"52",0,"lose","Alan Pardew",2015
"53",3,"win","Alan Pardew",2015
"54",1,"draw","Alan Pardew",2015
"55",3,"win","Alan Pardew",2015
"56",1,"draw","Alan Pardew",2015
"57",0,"lose","Alan Pardew",2015
"58",1,"draw","Alan Pardew",2015
"59",0,"lose","Alan Pardew",2015
"60",3,"win","Alan Pardew",2015
"61",3,"win","Alan Pardew",2015
"62",0,"lose","Alan Pardew",2015
"63",3,"win","Alan Pardew",2015
"64",0,"lose","Alan Pardew",2015
"65",3,"win","Alan Pardew",2014
"66",0,"lose","Alan Pardew",2014
"67",0,"lose","Alan Pardew",2014
"68",3,"win","Alan Pardew",2014
"69",3,"win","Alan Pardew",2014
"70",0,"lose","Alan Pardew",2014
"71",0,"lose","Alan Pardew",2014
"72",1,"draw","Alan Pardew",2014
"73",0,"lose","Alan Pardew",2014
"74",3,"win","Alan Pardew",2014
"75",3,"win","Alan Pardew",2014
"76",0,"lose","Alan Pardew",2014
"77",0,"lose","Alan Pardew",2014
"78",3,"win","Alan Pardew",2014
"79",0,"lose","Alan Pardew",2014
"80",3,"win","Alan Pardew",2014
"81",3,"win","Alan Pardew",2014
"82",3,"win","Alan Pardew",2014
"83",0,"lose","Alan Pardew",2014
"84",1,"draw","Alan Pardew",2014
"85",1,"draw","Alan Pardew",2014
"86",1,"draw","Alan Pardew",2014
"87",0,"lose","Alan Pardew",2013
"88",0,"lose","Alan Pardew",2013
"89",0,"lose","Alan Pardew",2013
"90",0,"lose","Alan Pardew",2013
"91",3,"win","Alan Pardew",2013
"92",3,"win","Alan Pardew",2013
"93",0,"lose","Alan Pardew",2013
"94",1,"draw","Alan Pardew",2013
"95",0,"lose","Alan Pardew",2013
"96",0,"lose","Alan Pardew",2013
"97",3,"win","Alan Pardew",2013
"98",1,"draw","Alan Pardew",2013
"99",0,"lose","Alan Pardew",2013
"100",3,"win","Alan Pardew",2013
"101",3,"win","Alan Pardew",2013
"102",0,"lose","Alan Pardew",2013
"103",3,"win","Alan Pardew",2013
"104",3,"win","Alan Pardew",2013
"105",3,"win","Alan Pardew",2013
"106",3,"win","Alan Pardew",2013
"107",0,"lose","Alan Pardew",2013
"108",3,"win","Alan Pardew",2012
"109",0,"lose","Alan Pardew",2012
"110",0,"lose","Alan Pardew",2012
"111",3,"win","Alan Pardew",2012
"112",0,"lose","Alan Pardew",2012
"113",3,"win","Alan Pardew",2012
"114",1,"draw","Alan Pardew",2012
"115",3,"win","Alan Pardew",2012
"116",1,"draw","Alan Pardew",2012
"117",3,"win","Alan Pardew",2012
"118",0,"lose","Alan Pardew",2012
"119",0,"lose","Alan Pardew",2012
"120",0,"lose","Alan Pardew",2012
"121",3,"win","Alan Pardew",2012
"122",0,"lose","Alan Pardew",2012
"123",3,"win","Alan Pardew",2012
"124",0,"lose","Alan Pardew",2012
"125",0,"lose","Alan Pardew",2012
"126",1,"draw","Alan Pardew",2012
"127",3,"win","Alan Pardew",2012
"128",1,"draw","Alan Pardew",2012
"129",3,"win","Alan Pardew",2012
"130",0,"lose","Alan Pardew",2012
"131",1,"draw","Alan Pardew",2012
"132",1,"draw","Alan Pardew",2012
"133",0,"lose","Alan Pardew",2012
"134",3,"win","Alan Pardew",2012
"135",0,"lose","Alan Pardew",2011
"136",0,"lose","Alan Pardew",2011
"137",3,"win","Alan Pardew",2011
"138",3,"win","Alan Pardew",2011
"139",3,"win","Alan Pardew",2011
"140",1,"draw","Alan Pardew",2011
"141",0,"lose","Alan Pardew",2011
