"","Name","Season","Apps","Mins","Assists","KeyP","AvgP","PS","Crosses","LongB","ThrB","Rating","Team.x","Meta","Team.y","Cost"
"1205","Andrew Crofts",2011,"13(11)",1289,1,0.7,19.5,78,0.3,1.3,0,6.34,"Norwich","DMC",NA,NA
"1206","Aron Gunnarsson",2013,"17(6)",1540,2,0.6,22.6,77.6,0,1,0,6.5,"Cardiff","DMC",NA,NA
"1207","Ashley Westwood",2012,"28(2)",2463,6,1.1,44.5,84.7,1.1,3.1,0.1,6.92,"Aston Villa","DMC",NA,NA
"1208","Ashley Westwood",2013,"35",3081,2,1.9,46.5,82.9,1.3,4.8,0,6.83,"Aston Villa","DMC",NA,NA
"1209","Ashley Westwood",2014,"25(2)",2152,1,1.3,49.1,83.7,0.9,4.1,0.1,6.66,"Aston Villa","DMC",NA,NA
"1210","Ashley Westwood",2015,"31(1)",2720,2,1.3,47.3,82.9,1.1,3.6,0,6.69,"Aston Villa","DMC",NA,NA
"1211","Claudio Yacob",2012,"29(1)",2484,0,0.2,41.5,87.4,0,2.4,0,6.88,"West Bromwich Albion","DMC","west-bromwich-albion",2550000
"1212","Claudio Yacob",2013,"22(5)",1844,0,0.3,35.2,87.2,0,1.9,0,6.84,"West Bromwich Albion","DMC","west-bromwich-albion",3830000
"1213","Claudio Yacob",2014,"16(4)",1390,0,0.2,26.6,79.3,0.1,1.1,0,6.84,"West Bromwich Albion","DMC","west-bromwich-albion",5100000
"1214","Claudio Yacob",2015,"33(1)",2854,1,0.2,32.1,78.3,0.1,1.8,0,6.99,"West Bromwich Albion","DMC","west-bromwich-albion",3400000
"1215","Claudio Yacob",2016,"13",1106,0,0.2,32.2,81.3,0.1,1.8,0,6.95,"West Bromwich Albion","DMC","west-bromwich-albion",3400000
"1216","Daniel Amartey",2016,"9(2)",835,1,0.8,37.9,83.5,0.1,2.2,0,6.5,"Leicester","DMC","leicester-city",4250000
"1217","Daniel Drinkwater",2014,"16(7)",1488,0,0.4,41,79.4,0.3,1.9,0,6.7,"Leicester","DMC",NA,NA
"1218","Daniel Drinkwater",2015,"35",3039,7,1.3,56.7,77.6,0.3,3.9,0.3,7.3,"Leicester","DMC",NA,NA
"1219","Daniel Drinkwater",2016,"12",1069,1,0.6,68.8,78.9,0.1,5.2,0.1,6.94,"Leicester","DMC",NA,NA
"1220","David Fox",2011,"23(5)",1935,3,1.4,52.1,83,1.4,6,0,6.6,"Norwich","DMC",NA,NA
"1221","Fernandinho",2013,"29(4)",2609,3,1.2,50.9,88.3,0.1,2.7,0.1,7.4,"Manchester City","DMC","manchester-city",27200000
"1222","Fernandinho",2014,"25(8)",2273,3,0.9,52.5,88.5,0.1,1.5,0.2,7.19,"Manchester City","DMC","manchester-city",27200000
